mt_name,state,lat,lon
mt.baker,washington,48.776797,-121.814467
mt.shuksan,washington,48.831284,-121.602849
mt.rainier,washington,46.852947,-121.760424
mt.adams,washington,46.202494,-121.490746
mt.stuart,washington,47.475198,-120.902476
mt.saint helens,washington,46.191418,-122.195606
mt.hood,oregon,45.373496,-121.695966
mt.jefferson,oregon,44.6743,-121.799565
s.sister,oregon,44.103548,-121.769378
mt.mcloughlin,oregon,42.444515,-122.315881
mt.thielsen,oregon,43.152769,-122.066502
mt.bachelor,oregon,43.979347,-121.688467
mt.shasta,california,41.408982,-122.194926